City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Data
303,port hueneme,34.1478,-119.1951,73.4,14,1,13.8,US,1614015064
304,avarua,-21.2078,-159.775,73.4,100,75,12.66,CK,1614015065
305,bibiani,6.4635,-2.3194,88.09,30,1,2.48,GH,1614015065
306,brigantine,39.4101,-74.3646,42.01,100,90,8.05,US,1614015042
307,iquitos,-3.7481,-73.2472,82.4,78,75,6.91,PE,1614015065
308,maarianhamina,60.0973,19.9348,26.6,93,90,12.66,AX,1614015065
309,kununurra,-15.7667,128.7333,77.0,91,100,8.05,AU,1614015065
310,krasnyy chikoy,50.3643,108.7512,-3.42,87,0,3.36,RU,1614015065
311,kaminoyama,38.1539,140.2736,46.99,75,81,8.86,JP,1614015066
312,tupik,54.4253,119.9327,-23.26,89,6,2.19,RU,1614015066
313,bourail,-21.5667,165.4833,76.62,89,8,4.45,NC,1614015026
314,edelira,-26.75,-55.2667,94.05,37,3,5.84,PY,1614015066
315,nizwa,22.9333,57.5333,68.4,35,0,5.23,OM,1614015066
316,necochea,-38.5473,-58.7368,71.01,47,1,10.0,AR,1614015066
317,ancud,-41.8697,-73.8203,59.0,55,75,6.91,CL,1614015066
318,san policarpo,12.1791,125.5072,81.07,84,22,12.46,PH,1614015067
319,bunia,1.5667,30.25,74.28,37,100,3.65,CD,1614015067
320,bulolo,-7.2,146.65,71.17,77,100,1.7,PG,1614014887
321,gat,31.61,34.7642,60.01,61,100,1.97,IL,1614015067
322,gohana,29.1333,76.7,65.8,23,0,5.53,IN,1614015067
323,ponta delgada,37.7333,-25.6667,66.0,88,40,24.16,PT,1614015067
324,hualmay,-11.0964,-77.6139,77.13,65,13,13.0,PE,1614015068
325,koundara,12.4833,-13.3,102.15,8,0,7.43,GN,1614015068
326,yuncheng,35.0231,110.9928,50.45,37,100,6.17,CN,1614015068
327,lipin bor,60.2622,37.9763,-17.41,88,0,6.08,RU,1614015068
328,tilichiki,60.4667,166.1,-18.71,87,0,10.16,RU,1614015068
329,kandrian,-6.2167,149.55,78.33,86,80,4.59,PG,1614015068
330,chapais,49.7834,-74.8492,23.0,74,40,13.8,CA,1614015069
331,mansoa,12.0733,-15.3189,100.4,14,0,5.75,GW,1614015069
332,savinka,50.0785,47.0994,-1.21,91,89,13.02,RU,1614015069
333,milkovo,54.7167,158.6167,10.78,95,100,0.78,RU,1614015069
334,vanimo,-2.6741,141.3028,75.33,87,100,6.91,PG,1614015069
335,iquique,-20.2208,-70.1431,75.2,46,0,17.27,CL,1614015070
336,ippy,6.2679,21.2247,80.44,19,33,2.53,CF,1614015070
337,bandarbeyla,9.4942,50.8122,76.84,74,93,14.92,SO,1614015070
338,konevo,62.1215,39.3192,-19.82,96,0,3.38,RU,1614015071
339,grindavik,63.8424,-22.4338,37.4,100,75,3.44,IS,1614015071
340,kasempa,-13.4584,25.8338,66.33,91,99,2.73,ZM,1614015071
341,linxia,35.6003,103.2064,38.86,62,56,0.78,CN,1614015071
342,watsa,3.0372,29.5355,73.18,36,55,1.99,CD,1614015071
343,saint-francois,46.4154,3.9054,60.8,59,0,6.91,FR,1614015071
344,amantea,39.1332,16.0746,57.2,77,0,12.66,IT,1614015072
345,sao felix do xingu,-6.6447,-51.995,87.37,59,74,2.3,BR,1614015072
346,rio grande,-32.035,-52.0986,88.0,66,40,5.75,BR,1614015008
347,kruisfontein,-34.0033,24.7314,71.01,74,0,5.99,ZA,1614015073
348,gravdal,68.1214,13.5031,37.4,81,75,8.05,NO,1614015073
349,kareli,22.9167,79.0667,66.16,24,2,1.77,IN,1614015073
350,salalah,17.0151,54.0924,77.0,73,0,4.61,OM,1614015073
351,amelia,42.5523,12.4182,55.0,93,0,6.91,IT,1614015063
352,jalu,29.0331,21.5482,59.38,52,0,9.73,LY,1614015073
353,davila,18.4726,120.5763,77.23,86,66,10.04,PH,1614015074
354,nikolskoye,59.7035,30.7861,8.6,61,69,15.66,RU,1614014812
355,severo-kurilsk,50.6789,156.125,29.3,97,100,6.55,RU,1614015074
356,bonnyville,54.2668,-110.735,35.6,80,75,9.22,CA,1614015008
357,mareeba,-17.0,145.4333,75.2,94,100,3.18,AU,1614015074
358,balkhash,46.844,74.9804,12.7,94,4,2.21,KZ,1614015074
359,verkhnevilyuysk,63.4453,120.3167,-33.57,83,1,2.71,RU,1614015075
360,luganville,-15.5333,167.1667,80.6,80,98,6.93,VU,1614015076
361,norsup,-16.0667,167.3833,81.16,81,99,9.53,VU,1614015076
362,chernyshevskiy,63.0128,112.4714,-32.03,86,97,1.19,RU,1614015076
363,kudat,6.8837,116.8477,77.0,83,20,3.44,MY,1614015076
364,wainwright,52.839,-110.8572,37.4,75,18,5.75,CA,1614015076
